1,Bayan Qagan,Zhongguan,2016-04-21,2016-05-01
2,Chongxian,Pashkovskiy,2010-03-04,2010-03-14
3,Potštát,Tijucas,2019-06-22,2019-08-17
4,Delicias,Burauen,2013-04-02,2013-05-30
5,Sabanagrande,Rozsypne,2016-01-13,2016-02-05
6,Tungawan,Jieshi,2016-01-23,2016-03-15
7,Rio Novo do Sul,Maha Sarakham,2018-02-24,2018-02-26
8,Hidalgo,Gongming,2019-09-28,2019-10-02
9,Cergy-Pontoise,Lembongan Kawan,2019-07-13,2019-07-20
10,Kislyakovskaya,Huayuanli,2015-02-04,2015-02-08
11,Inhambane,Sangiang,2012-01-06,2012-01-10
12,Alcainça,Jakartovice,2013-03-19,2013-05-10
13,Bharatpur,Fukui-shi,2016-08-29,2016-09-21
14,Hữu Lũng,Buliran,2012-12-19,2012-12-30
15,Sypniewo,Gandrungmangu,2019-06-30,2019-07-02
16,Akhmīm,Cergy-Pontoise,2015-07-01,2015-07-09
17,Taverny,Fucheng,2014-04-10,2014-06-04
18,Jarash,Tripoli,2010-05-10,2010-07-08
19,Setaka,Santiago do Cacém,2016-01-18,2016-02-19
20,Concordia,Shishan,2011-06-06,2011-07-20
21,Al ‘Awjah,Turar Ryskulov,2013-02-01,2013-03-28
22,Bringinanom,Lembung Tengah,2010-05-18,2010-06-09
23,Kokofata,Kangar,2012-11-10,2012-11-29
24,Huji,San Antonio,2015-01-12,2015-01-16
25,Tanūmah,Koper,2018-12-25,2019-01-25
26,Yuxarı Aran,København,2017-04-14,2017-05-11
27,Gaotieling,Horqueta,2015-01-30,2015-02-16
28,Taibai,Gesikan,2011-10-27,2011-11-29
29,San Miguel,San Francisco,2016-10-17,2016-11-04
30,San Carlos,Jovellanos,2018-03-18,2018-05-09
31,São Miguel,Phra Phutthabat,2019-04-14,2019-05-17
32,Santa Ana,Xinxu,2013-03-05,2013-03-31
33,Bela Vista,Curitiba,2011-12-11,2011-12-28
34,Tokonou,Rybnoye,2013-09-28,2013-10-26
35,Portalegre,Soledade,2010-02-03,2010-02-12
36,Amarillo,Ccatca,2019-03-31,2019-04-25
37,Villanueva,Kumlinge,2010-05-03,2010-06-04
38,Gaocheng,Rio Branco,2010-12-09,2011-01-10
39,Älvängen,Zaklików,2014-12-18,2014-12-20
40,Hougang,Muang Sing,2015-01-07,2015-01-10
41,Liješnica,Luleå,2017-01-04,2017-02-11
42,El Porvenir,Baixiang,2014-01-26,2014-03-19
43,Noormarkku,Fuyo,2014-04-12,2014-05-20
44,Pandan,Luorong,2013-11-06,2013-12-30
45,Krajan Curahcotok,Banqiao,2010-10-03,2010-10-13
46,Simão Dias,Bayaguana,2016-04-18,2016-05-09
47,Kota Bharu,Yuanba,2015-06-05,2015-06-11
48,Grijó,Manturovo,2014-05-28,2014-07-25
49,Orléans,Décines-Charpieu,2012-06-06,2012-07-09
50,Danchang,Figueiró dos Vinhos,2010-02-16,2010-03-24
51,Tunis,Nässjö,2010-01-16,2010-01-30
52,Poste de Flacq,Bhakkar,2014-03-30,2014-04-21
53,Zherdevka,Rāwandūz,2012-02-20,2012-03-26
54,Skomielna Czarna,Podporozh’ye,2017-04-28,2017-04-29
55,Marintoc,Kedungharjo,2019-11-19,2019-12-24
56,Magitang,Rautjärvi,2012-04-15,2012-05-31
57,Libog,Ramalhal,2013-07-11,2013-08-29
58,Nanhai,Pancanagara,2018-01-18,2018-03-11
59,Volkhov,Ikot-Ekpene,2016-09-16,2016-10-16
60,Dhahab,Marāveh Tappeh,2013-09-22,2013-09-25
61,Atiquizaya,Jingkou,2011-03-17,2011-04-12
62,Shifan,Malahide,2015-08-18,2015-09-22
63,Maqia,Xinchengpu,2014-04-25,2014-05-09
64,Vrangel’,Dolulolong,2014-06-12,2014-06-24
65,Mriyunan,Linquan,2018-11-20,2018-11-27
66,Ouro Preto do Oeste,Nanyang,2014-12-02,2014-12-22
67,Novovasylivka,Cabatang,2012-10-10,2012-11-01
68,Biga,Milići,2012-07-03,2012-07-30
69,Taozhou,Fangjun,2015-06-29,2015-07-21
70,Arai,San Fernando,2018-07-03,2018-07-14
71,Wang Sam Mo,Sechenovo,2018-12-07,2019-01-17
72,Itapissuma,Nova Lima,2016-04-24,2016-06-19
73,Driefontein,Houxi,2011-07-21,2011-08-04
74,Riti,Inhambane,2011-01-13,2011-02-23
75,Pensacola,Kačanik,2010-04-04,2010-05-13
76,El Tejocote,Diên Khánh,2013-10-09,2013-10-24
77,Puerto Deseado,Kozel’shchyna,2015-09-05,2015-10-03
78,Krokeaí,Brasília,2016-07-14,2016-08-02
79,Pluak Daeng,Wonodadi,2016-03-01,2016-04-10
80,Bayan Hure,Mayahi,2011-02-08,2011-03-19
81,Usevia,Pensacola,2017-01-05,2017-01-12
82,Hengtang,Solna,2013-06-18,2013-08-06
83,Jūybār,Anse à Galets,2018-08-27,2018-09-04
84,Columbia,Yabuli,2016-01-02,2016-02-13
85,Norrköping,Beiling,2017-07-08,2017-07-27
86,Omigawa,Charikar,2017-12-24,2018-02-11
87,Laixi,Izingolweni,2010-03-08,2010-03-28
88,Rejowinangun,Palencia,2012-01-10,2012-03-08
89,Kesha,Den Haag,2012-11-18,2012-12-06
90,Roblin,Laranjeiras,2014-10-26,2014-11-21
91,Norrköping,Gaoxiang,2018-09-19,2018-10-10
92,Lấp Vò,Halmstad,2018-07-22,2018-09-01
93,Meicheng,Baorixile,2011-07-26,2011-08-07
94,Qarchī Gak,Itbayat,2014-10-29,2014-12-18
95,Tubajon,Waeng Yai,2019-08-08,2019-09-07
96,Mikun’,Humniska,2014-05-31,2014-06-26
97,Rangpur,Jarigue,2018-06-21,2018-07-02
98,Turirejo,Smimou,2010-10-16,2010-11-28
99,Kalepasan,Pakisaji,2018-10-31,2018-12-14
100,Thākurgaon,Río de Oro,2013-07-05,2013-07-30
101,Kimitsu,Calumpit,2012-03-10,2012-03-31
102,Dondar Quşçu,Dongzha,2019-12-13,2020-01-23
103,Māmu Kānjan,Kahabe,2019-09-11,2019-10-09
104,Mubo,Cornillon,2019-03-04,2019-04-16
105,Payabon,Shanguang,2019-07-03,2019-08-15
106,Bashan,Llaillay,2017-09-18,2017-09-29
107,Bongbong,Julcamarca,2015-11-06,2015-11-13
108,Nizhnyaya Tura,Mae Lan,2017-02-09,2017-03-01
109,Cestas,Jiangti,2010-08-10,2010-08-19
110,Podporozh’ye,Naga,2010-09-18,2010-09-25
111,Dolní Počernice,Tsagaandörvölj,2017-06-29,2017-08-20
112,Tāklisah,Keruguya,2018-08-24,2018-08-28
113,Birmingham,Jagistay,2017-05-12,2017-07-04
114,Dazhou,Margasana,2018-07-09,2018-09-04
115,Daliyuan,Muzi,2010-10-23,2010-12-11
116,Les Cèdres,Viana,2017-10-31,2017-11-14
117,Río Cuarto,Machakos,2010-04-24,2010-05-24
118,Ciudad Tecún Umán,Bengras,2011-08-07,2011-09-15
119,Limanowa,Krajan Satu,2010-08-12,2010-09-03
120,Fiães,Shirokovskiy,2012-09-13,2012-11-03
121,Panyindangan,Sumberjo,2016-05-23,2016-05-27
122,Lakkíon,Imām Şāḩib,2010-08-04,2010-09-19
123,Pinheiros,Requena,2011-11-04,2011-11-13
124,Krasae Sin,Cahors,2013-02-15,2013-04-03
125,Madrid,Houping,2010-02-16,2010-03-26
126,Cimarelang,Zhangqiang,2010-02-27,2010-04-12
127,Ecilda Paullier,Rinang,2013-01-06,2013-02-05
128,Macedo de Cavaleiros,Chaguaramas,2016-03-03,2016-04-23
129,Dongyangzhen,Reconquista,2016-11-01,2016-12-30
130,Bergen op Zoom,Saint Paul,2018-01-05,2018-01-20
131,Minneapolis,Solna,2014-01-03,2014-01-04
132,Bonao,Alca,2017-02-19,2017-03-11
133,Guazhou,Oja,2015-09-02,2015-10-24
134,Bogotá,Yulin,2013-07-31,2013-08-31
135,Jingyang,Agía Varvára,2012-05-25,2012-05-30
136,Baini,San Antonio,2011-04-15,2011-05-31
137,Kos,Lyubim,2018-10-08,2018-10-26
138,Moriguchi,Julayjilah,2017-11-23,2017-12-15
139,Coronel Fabriciano,Bongouanou,2017-03-16,2017-05-14
140,La Virgen,Wudabao,2016-01-16,2016-03-13
141,Boston,Rusnė,2019-06-25,2019-07-26
142,Saint-Dizier,Kansas City,2015-07-13,2015-08-06
143,Pasadena,Daitou,2013-10-01,2013-11-22
144,Thulamahashi,Kesugihan,2019-07-13,2019-09-02
145,Maradi,Luan Balu,2012-05-08,2012-06-11
146,Houxi,Strelka,2019-01-12,2019-03-11
147,Basen,Cikadondongdesa,2012-11-22,2013-01-12
148,Chenghuang,Camajuaní,2014-05-04,2014-07-01
149,Paris 20,Cisewu,2012-01-18,2012-03-11
150,Krajanpagowan,Pamakayo,2013-06-02,2013-07-08
151,Santa Rosa,Tizguine,2015-12-22,2015-12-25
152,Bradford,Nuquí,2018-04-10,2018-05-16
153,Bokor,Sandefjord,2018-12-28,2019-01-25
154,Tymoshivka,La Concepcion,2012-03-14,2012-04-18
155,Al Madīd,General Cabrera,2010-05-25,2010-06-24
156,San Pedro de Lloc,Kyra,2012-09-14,2012-10-31
157,Ongi,Pakemitan,2016-05-13,2016-06-27
158,Timmins,Fairview,2013-05-19,2013-06-29
159,Mizque,Legen,2019-06-29,2019-08-03
160,Laranjeiras do Sul,Khawr Fakkān,2019-03-20,2019-04-20
161,An Châu,Viana,2011-07-25,2011-08-16
162,Ivanovo,Maukaro,2014-02-21,2014-02-22
163,Orlando,Apalit,2016-11-26,2017-01-25
164,Bonoua,Tomioka,2012-02-23,2012-04-06
165,Fenglin,Siennica Różana,2014-08-14,2014-10-11
166,Zhangjiawan,Vila de Rei,2010-04-09,2010-05-20
167,Ceadîr-Lunga,Všemina,2019-01-20,2019-02-28
168,Nevers,Xinzhou,2014-12-18,2014-12-25
169,Lyublino,Anse à Galets,2014-03-23,2014-04-01
170,Lianyuan,Itapaci,2010-08-29,2010-10-14
171,Thị Trấn Thọ Xuân,Tarbes,2014-07-27,2014-09-19
172,Wentai,Yangdang,2011-09-07,2011-09-23
173,La Romana,Hexi,2012-03-13,2012-04-06
174,Kadukandel,Korolevo,2011-09-05,2011-09-08
175,Sunduk,Krong Pi Nang,2019-09-25,2019-10-11
176,Berlin,Dongdajie,2019-03-01,2019-03-05
177,Caen,Manuel Cavazos Lerma,2016-02-04,2016-02-07
178,Lampa,Cabaiguán,2015-09-14,2015-09-29
179,Ōgaki,Nice,2018-03-27,2018-05-05
180,Clarin,Sinmak,2015-09-05,2015-10-21
181,Bizhou,Amagasaki,2018-02-16,2018-04-02
182,Berthierville,Gori,2018-04-17,2018-05-14
183,Miramar,Normandin,2010-01-07,2010-02-21
184,Iperu,Tanlin,2018-11-11,2018-11-17
185,Mulhouse,Desakolot,2014-05-02,2014-05-30
186,Ervedosa do Douro,La Virtud,2010-11-17,2010-11-26
187,Ipatinga,Naviraí,2012-12-20,2013-02-12
188,Cabiguan,Cibeureum Kidul,2015-08-02,2015-08-22
189,Örebro,Halayhayin,2016-06-18,2016-06-28
190,Suwałki,Fort Worth,2016-03-10,2016-03-25
191,Donskoy,Kisanga,2016-01-19,2016-01-31
192,Cruz,Kanggye-si,2015-10-11,2015-11-22
193,Kalawit,Naviraí,2015-09-17,2015-11-01
194,Lobito,Doroslovo,2019-12-25,2020-02-21
195,Kebon Tengah,La Estancia,2016-06-15,2016-06-30
196,Sembabule,Marādah,2018-07-28,2018-09-15
197,Anjozorobe,Zhongshan,2012-05-29,2012-07-07
198,Hương Sơn,Caparrapí,2014-05-16,2014-06-23
199,Chinju,Jinhe,2011-09-04,2011-11-02
200,Guanting,Bègles,2017-12-31,2018-01-07
201,Kruševac,Guadalupe,2011-08-10,2011-09-25
202,Spitak,Kuching,2013-05-25,2013-05-27
203,Piripiri,Kaindy,2017-05-11,2017-05-21
204,Media Luna,Rontu,2017-11-27,2017-12-11
205,Monte Carmelo,Huiwen,2013-06-17,2013-07-12
206,Wete,Cuauhtemoc,2011-04-09,2011-05-23
207,Jantake,Lisieux,2014-12-26,2015-02-23
208,Dadian,Nantes,2015-08-04,2015-09-20
209,Calibishie,Monte Redondo,2012-01-28,2012-02-28
210,Moju,Infanta,2014-06-03,2014-06-18
211,Lužani,Keswick,2019-07-15,2019-08-05
212,Kaskinen,Runjin,2016-04-06,2016-05-03
213,Maochen,Sanjiazi,2016-03-02,2016-03-24
214,Slobidka,Shatou,2017-04-23,2017-06-01
215,Kyŏngsŏng,Qiashui,2019-03-08,2019-04-20
216,Tānk,Daxing,2017-11-22,2018-01-13
217,Werang,Drayton Valley,2013-05-30,2013-05-31
218,Xintun,Dafundo,2014-04-14,2014-05-04
219,Vagos,Rumyantsevo,2015-11-24,2016-01-15
220,Amherstburg,Zarrīn Shahr,2016-03-30,2016-05-05
221,Bondoufle,Dzorastan,2017-10-06,2017-10-13
222,Perbaungan,Lisala,2016-01-02,2016-02-17
223,Lisičani,Brloh,2014-06-29,2014-07-11
224,Karengan,Zátor,2016-04-21,2016-05-19
225,Peristerona,La Paz,2014-08-17,2014-09-12
226,Laoxialu,Sūrāb,2011-10-02,2011-11-23
227,Dagup,Winnipeg,2013-02-12,2013-03-19
228,Ransiki,Shazhou,2015-03-25,2015-05-08
229,Mocho,Clamart,2018-12-16,2018-12-25
230,Staré Město,Saint-Raymond,2015-11-12,2015-12-17
231,Tanjung,Kalloní,2013-05-31,2013-07-05
232,Banatsko Veliko Selo,Santo Domingo de los Colorados,2015-07-17,2015-09-11
233,Panjiang,Amherstburg,2014-09-17,2014-10-26
234,Bogdaniec,Chruszczobród,2012-10-16,2012-11-02
235,Barão de Cocais,Nîmes,2013-11-06,2013-12-10
236,Zhangaqorghan,Pulilan,2011-11-22,2011-12-28
237,Challas,Chaihe,2012-10-24,2012-12-06
238,Songkeng,Zuya,2019-11-24,2020-01-15
239,Aranhas,San Agustin,2010-07-31,2010-08-10
240,Nangabulik,Zavet,2011-10-26,2011-11-09
241,Kabinda,Norberg,2018-03-26,2018-04-04
242,Heimahe,Danghara,2013-11-08,2013-11-30
243,El Rancho,Huchang,2014-06-29,2014-08-25
244,Dalongzhan,Sarykemer,2012-06-11,2012-07-22
245,Groblersdal,Pontang Tengah,2016-06-12,2016-07-06
246,Ngulangan,Castelo,2014-05-12,2014-06-26
247,Langford,Tokmok,2014-01-02,2014-01-26
248,Hongxi,Yangon,2019-12-05,2019-12-16
249,Atescatempa,Markópoulo,2011-10-22,2011-11-17
250,Shiraz,Manolo Fortich,2017-01-16,2017-01-28
251,Letovice,Caieiras,2018-02-06,2018-03-29
252,Joroinen,Hegarsari,2010-01-09,2010-01-21
253,Xiacang,Bouaké,2016-01-28,2016-03-05
254,Sungi Liput,Tabaga,2013-02-25,2013-04-06
255,Cacocum,Bailuquan,2012-03-08,2012-04-01
256,Kakamega,Konakridee,2014-02-10,2014-03-08
257,Sydney,Kedungtuban,2013-01-05,2013-02-17
258,Asaka,Yangsan,2015-12-20,2016-02-16
259,Ōzu,Saint-Quentin,2013-05-28,2013-07-02
260,Sebeta,Kardzhin,2013-06-22,2013-08-05
261,Marseille,Sigay,2016-11-21,2016-11-23
262,Sebina,Sahavato,2016-07-13,2016-07-18
263,Moravský Krumlov,Andradina,2017-04-12,2017-05-22
264,Luo’ao,Raga,2017-05-26,2017-05-30
265,Sjöbo,Xijiao,2017-06-16,2017-07-27
266,Budapest,Debelets,2019-08-31,2019-09-25
267,La Maná,Preobrazhenka,2012-11-12,2012-11-13
268,Valerianovsk,Jinzhou,2018-08-10,2018-10-07
269,Lieqiao,Divjakë,2011-12-11,2011-12-16
270,Bolderaja,Linköping,2018-11-17,2018-11-22
271,Iksha,Breda,2010-10-17,2010-11-24
272,Shunyi,Figueira Castelo Rodrigo,2010-07-08,2010-07-27
273,Silvares,El Suyatal,2012-01-29,2012-03-10
274,Washington,Daugai,2010-05-05,2010-06-03
275,Dazhigu,Kota Kinabalu,2019-08-13,2019-10-04
276,Ketawang,Saint Joseph,2012-09-14,2012-10-03
277,Yilkiqi,Santa Fé do Sul,2011-01-10,2011-03-05
278,Kastornoye,Qingu,2013-01-27,2013-03-26
279,Mbanga,Guangfu,2016-06-16,2016-08-03
280,Lab,Baro,2016-09-05,2016-10-18
281,Newbiggin,Chợ Gạo,2018-03-27,2018-04-22
282,Fushë-Bulqizë,Tongole,2017-10-25,2017-11-11
283,Krapina,Temizhbekskaya,2017-12-20,2018-02-05
284,Monte da Boavista,Taytayan,2011-06-21,2011-07-29
285,Wuxia,Hualin,2012-01-15,2012-02-12
286,Wuyang,Corumbá,2012-05-04,2012-06-12
287,Almada,Zapolyarnyy,2012-12-20,2013-02-02
288,Makiv,Sungai Raya,2017-05-18,2017-06-12
289,Palaihari,Ngulahan,2011-04-03,2011-05-30
290,Lincoln,Zdíkov,2015-12-22,2016-01-16
291,Pisão,Isak,2015-12-25,2016-01-22
292,Xieba,Zipaquirá,2019-12-16,2020-01-31
293,Alzamay,Amalfi,2018-10-07,2018-10-21
294,Kaka,Tharyarwady,2012-12-28,2013-02-24
295,Mayahi,Taling,2013-03-03,2013-04-18
296,Suresnes,Yala,2018-12-28,2019-01-23
297,Baoshan,Borzoy,2011-06-18,2011-08-16
298,Gornyy,Plomárion,2015-08-14,2015-09-15
299,Ping’an,Adjumani,2011-01-18,2011-03-19
300,Sunampe,Sipe Sipe,2019-09-11,2019-09-12